;name;platform;year_of_release
15704;writing and speaking beautiful japanese ds;ds;2007
15754;virtua quest;ps2;2004
15795;shonen jump's yu-gi-oh! gx card almanac;ds;2007
15816;without warning;xb;2005
15953;pdc world championship darts 2008;ds;2008
15966;dinotopia: the sunstone odyssey;gc;2003
15998;jet impulse;ds;2007
16017;dream dancer;ds;1980
16059;dance! it's your stage;wii;1999
16079;football manager 2007;x360;2006
16080;ferrari: the race experience;wii;2010
16157;aquaman: battle for atlantis;xb;2003
16180;wrc: fia world rally championship;pc;2001
16277;homeworld remastered collection;pc;2015
16288;shorts;ds;2009
16293;akb1/48: idol to guam de koishitara...;x360;2011
16329;brothers in arms: furious 4;x360;2011
16348;agarest senki: re-appearance;ps3;2008
16373;pdc world championship darts 2008;psp;2008
16405;freaky flyers;gc;2003
16448;inversion;pc;2012
16458;hakuouki: shinsengumi kitan;ps3;2014
16522;virtua quest;gc;2004
